timestamp,open,high,low,close,volume
2020-01-01 00:00:00+00:00,7189.43,7239.74,7170.15,7221.65,12055.759
2020-01-01 04:00:00+00:00,7221.8,7230.0,7193.52,7205.26,5738.351
2020-01-01 08:00:00+00:00,7205.26,7234.57,7174.0,7192.65,10036.293
2020-01-01 12:00:00+00:00,7192.74,7260.43,7191.79,7229.49,11010.528
2020-01-01 16:00:00+00:00,7229.66,7248.0,7210.81,7226.35,7787.862
2020-01-01 20:00:00+00:00,7226.56,7242.0,7174.0,7197.57,10172.536
2020-01-02 00:00:00+00:00,7197.57,7209.59,7121.0,7127.29,13363.9
2020-01-02 04:00:00+00:00,7126.94,7159.3,7101.0,7107.56,15610.361
2020-01-02 08:00:00+00:00,7107.53,7175.0,7106.75,7136.24,15351.811
2020-01-02 12:00:00+00:00,7136.36,7160.0,7103.0,7126.25,16636.556
2020-01-02 16:00:00+00:00,7126.25,7143.29,6922.0,6979.44,43801.316
2020-01-02 20:00:00+00:00,6979.45,6982.83,6938.36,6962.04,10531.733
2020-01-03 00:00:00+00:00,6962.34,6962.8,6863.44,6947.35,23421.061
2020-01-03 04:00:00+00:00,6947.44,7300.0,6945.84,7198.02,52550.895
2020-01-03 08:00:00+00:00,7198.02,7368.33,7198.0,7338.11,44019.993
2020-01-03 12:00:00+00:00,7338.4,7379.0,7229.0,7316.01,29634.459
2020-01-03 16:00:00+00:00,7315.36,7407.28,7276.35,7338.9,37060.384
2020-01-03 20:00:00+00:00,7338.91,7359.0,7255.84,7341.72,21806.666
2020-01-04 00:00:00+00:00,7341.6,7347.02,7279.0,7329.29,11043.555
2020-01-04 04:00:00+00:00,7329.4,7368.47,7310.0,7344.13,13403.937
2020-01-04 08:00:00+00:00,7344.11,7366.0,7295.2,7333.07,14214.085
2020-01-04 12:00:00+00:00,7333.07,7333.54,7286.16,7315.45,12785.519
2020-01-04 16:00:00+00:00,7315.94,7400.0,7269.21,7331.35,30435.423
2020-01-04 20:00:00+00:00,7331.87,7362.87,7307.0,7350.71,10703.514
2020-01-05 00:00:00+00:00,7350.54,7488.0,7350.54,7475.15,34313.211
2020-01-05 04:00:00+00:00,7475.19,7495.0,7440.0,7462.98,14041.039
2020-01-05 08:00:00+00:00,7463.42,7470.0,7385.76,7422.48,17007.021
2020-01-05 12:00:00+00:00,7422.48,7474.21,7414.13,7463.59,15904.588
2020-01-05 16:00:00+00:00,7463.76,7478.0,7420.0,7441.83,14317.588
2020-01-05 20:00:00+00:00,7441.9,7441.9,7303.0,7354.36,22182.525
2020-01-06 00:00:00+00:00,7354.36,7580.08,7345.0,7538.65,42104.905
2020-01-06 04:00:00+00:00,7538.66,7550.45,7491.59,7505.35,15005.412
2020-01-06 08:00:00+00:00,7505.36,7576.0,7505.35,7540.0,20884.833
2020-01-06 12:00:00+00:00,7539.99,7611.81,7481.74,7515.92,27521.187
2020-01-06 16:00:00+00:00,7516.03,7558.75,7507.0,7537.89,13584.214
2020-01-06 20:00:00+00:00,7536.72,7808.65,7533.0,7757.39,49049.766
2020-01-07 00:00:00+00:00,7757.74,8014.91,7757.0,7898.59,61674.438
2020-01-07 04:00:00+00:00,7899.0,7908.95,7826.18,7886.66,21354.686
2020-01-07 08:00:00+00:00,7886.95,7969.0,7860.0,7899.86,23334.683
2020-01-07 12:00:00+00:00,7898.9,7918.19,7746.0,7769.11,40818.309
2020-01-07 16:00:00+00:00,7769.73,8133.0,7733.0,8077.71,72464.068
2020-01-07 20:00:00+00:00,8077.71,8215.33,7952.0,8152.49,61162.978
2020-01-08 00:00:00+00:00,8150.9,8468.42,8144.02,8302.62,88963.033
2020-01-08 04:00:00+00:00,8302.97,8381.87,8280.0,8301.47,24655.45
2020-01-08 08:00:00+00:00,8301.5,8379.51,8267.0,8335.28,24056.52
2020-01-08 12:00:00+00:00,8335.28,8427.97,8201.1,8306.39,64041.926
2020-01-08 16:00:00+00:00,8308.23,8340.86,7964.41,7965.05,74773.652
2020-01-08 20:00:00+00:00,7966.97,8129.0,7870.11,8059.84,44734.533
2020-01-09 00:00:00+00:00,8059.77,8060.0,7932.0,7957.38,26658.967
2020-01-09 04:00:00+00:00,7958.0,7980.73,7898.0,7953.76,22050.001
2020-01-09 08:00:00+00:00,7953.99,7960.0,7851.91,7881.53,30415.775
2020-01-09 12:00:00+00:00,7881.52,7948.11,7874.23,7909.39,23619.757
2020-01-09 16:00:00+00:00,7909.81,7963.0,7776.0,7921.34,39522.49
2020-01-09 20:00:00+00:00,7921.6,8006.83,7750.01,7818.59,44996.153
2020-01-10 00:00:00+00:00,7817.91,7855.0,7767.22,7818.53,16038.321
2020-01-10 04:00:00+00:00,7818.3,7818.3,7718.05,7752.37,22039.693
2020-01-10 08:00:00+00:00,7752.31,7854.32,7670.0,7841.02,44376.606
2020-01-10 12:00:00+00:00,7841.0,8088.0,7808.32,8066.68,58861.17
2020-01-10 16:00:00+00:00,8068.26,8145.41,7912.95,8064.34,75750.194
2020-01-10 20:00:00+00:00,8062.68,8210.62,7985.38,8207.09,36717.964
2020-01-11 00:00:00+00:00,8207.2,8261.33,8131.93,8165.85,31173.411
2020-01-11 04:00:00+00:00,8165.29,8187.0,8048.0,8079.53,26143.671
2020-01-11 08:00:00+00:00,8079.17,8135.26,8012.29,8049.81,25190.553
2020-01-11 12:00:00+00:00,8049.26,8120.06,8020.0,8101.69,20293.496
2020-01-11 16:00:00+00:00,8101.69,8219.38,8070.56,8153.9,25922.665
2020-01-11 20:00:00+00:00,8153.37,8292.19,8003.87,8020.56,36017.919
2020-01-12 00:00:00+00:00,8020.58,8119.24,7956.28,8092.1,21734.113
2020-01-12 04:00:00+00:00,8092.09,8155.0,8072.0,8097.55,12366.872
2020-01-12 08:00:00+00:00,8099.33,8166.72,8088.3,8117.73,14683.22
2020-01-12 12:00:00+00:00,8117.7,8186.0,8117.2,8154.42,16442.389
2020-01-12 16:00:00+00:00,8154.35,8195.0,8070.13,8132.0,29876.527
2020-01-12 20:00:00+00:00,8131.99,8189.0,8088.82,8186.7,13526.843
2020-01-13 00:00:00+00:00,8186.22,8200.0,8090.0,8108.23,13560.775
2020-01-13 04:00:00+00:00,8107.88,8125.91,8053.78,8074.33,11774.927
2020-01-13 08:00:00+00:00,8075.0,8135.93,8063.92,8080.0,12296.28
2020-01-13 12:00:00+00:00,8080.0,8115.05,8055.0,8085.86,12488.641
2020-01-13 16:00:00+00:00,8085.86,8132.0,8072.0,8111.81,10521.23
2020-01-13 20:00:00+00:00,8111.82,8165.0,8096.98,8113.0,13939.511
2020-01-14 00:00:00+00:00,8112.99,8485.0,8109.02,8469.84,61297.173
2020-01-14 04:00:00+00:00,8469.54,8598.27,8467.74,8515.53,33643.582
2020-01-14 08:00:00+00:00,8514.95,8567.9,8476.0,8530.24,21271.009
2020-01-14 12:00:00+00:00,8530.24,8770.0,8479.54,8686.0,71426.11
2020-01-14 16:00:00+00:00,8686.0,8864.99,8520.0,8776.62,76457.768
2020-01-14 20:00:00+00:00,8776.61,8893.0,8678.01,8825.0,26682.339
2020-01-15 00:00:00+00:00,8825.0,8918.5,8710.0,8730.41,44397.38
2020-01-15 04:00:00+00:00,8730.08,8745.0,8570.52,8631.59,38345.254
2020-01-15 08:00:00+00:00,8631.38,8811.0,8610.68,8738.06,32050.674
2020-01-15 12:00:00+00:00,8738.06,8921.2,8727.0,8768.17,59640.925
2020-01-15 16:00:00+00:00,8768.17,8824.93,8680.42,8766.5,35564.801
2020-01-15 20:00:00+00:00,8766.5,8884.98,8742.78,8825.3,27634.803
2020-01-16 00:00:00+00:00,8825.35,8868.21,8596.25,8646.44,41714.282
2020-01-16 04:00:00+00:00,8647.08,8734.88,8625.0,8688.64,21192.1
2020-01-16 08:00:00+00:00,8688.65,8731.0,8607.05,8730.35,28626.121
2020-01-16 12:00:00+00:00,8730.74,8793.77,8650.01,8715.83,34800.796
2020-01-16 16:00:00+00:00,8715.84,8728.75,8634.0,8709.6,24219.169
2020-01-16 20:00:00+00:00,8709.61,8764.95,8675.24,8725.08,17406.495
2020-01-17 00:00:00+00:00,8724.99,8843.49,8680.0,8788.71,27739.164
2020-01-17 04:00:00+00:00,8789.0,9020.0,8765.0,8944.5,47903.058
2020-01-17 08:00:00+00:00,8943.99,9039.0,8900.0,8914.51,41762.26
2020-01-17 12:00:00+00:00,8914.51,8929.7,8785.0,8857.11,35642.585
2020-01-17 16:00:00+00:00,8857.65,8959.22,8816.14,8883.8,34304.75
2020-01-17 20:00:00+00:00,8885.08,8968.0,8869.68,8918.72,18365.869
2020-01-18 00:00:00+00:00,8918.73,8995.0,8858.38,8931.1,20006.976
2020-01-18 04:00:00+00:00,8931.1,8931.11,8816.0,8852.8,21444.199
2020-01-18 08:00:00+00:00,8854.79,8922.12,8832.0,8885.99,16681.991
2020-01-18 12:00:00+00:00,8885.99,8968.0,8877.99,8910.0,22356.074
2020-01-18 16:00:00+00:00,8909.29,8940.0,8855.0,8914.13,19590.082
2020-01-18 20:00:00+00:00,8914.24,8968.0,8901.0,8925.0,14629.36
2020-01-19 00:00:00+00:00,8925.0,9205.3,8898.88,9165.18,50012.427
2020-01-19 04:00:00+00:00,9165.18,9173.17,9047.95,9092.21,20816.62
2020-01-19 08:00:00+00:00,9091.84,9135.0,8505.0,8704.84,62222.072
2020-01-19 12:00:00+00:00,8703.44,8704.82,8572.32,8639.0,34876.842
2020-01-19 16:00:00+00:00,8639.0,8685.34,8618.17,8655.01,16436.909
2020-01-19 20:00:00+00:00,8655.14,8760.93,8440.91,8705.85,40949.655
2020-01-20 00:00:00+00:00,8705.98,8740.0,8628.06,8671.56,22630.258
2020-01-20 04:00:00+00:00,8671.56,8699.55,8636.22,8668.0,13357.88
2020-01-20 08:00:00+00:00,8667.98,8686.0,8601.0,8622.74,16120.579
2020-01-20 12:00:00+00:00,8622.74,8686.0,8526.06,8680.17,36778.484
2020-01-20 16:00:00+00:00,8680.9,8710.65,8645.0,8678.35,14686.563
2020-01-20 20:00:00+00:00,8678.63,8750.37,8612.51,8650.0,21587.911
2020-01-21 00:00:00+00:00,8650.0,8688.0,8621.27,8679.0,12266.947
2020-01-21 04:00:00+00:00,8679.0,8700.0,8630.0,8639.96,9824.081
2020-01-21 08:00:00+00:00,8639.96,8684.0,8608.71,8662.99,14927.637
2020-01-21 12:00:00+00:00,8662.99,8682.7,8640.0,8650.78,7869.409
2020-01-21 16:00:00+00:00,8650.5,8669.0,8448.6,8536.51,22594.075
2020-01-21 20:00:00+00:00,8536.11,8790.1,8534.0,8742.43,40095.004
2020-01-22 00:00:00+00:00,8742.78,8764.0,8709.0,8722.71,9723.972
