timestamp,funding_rate
2020-01-01 00:00:00+00:00,0.0001
2020-01-01 08:00:00+00:00,7.354e-05
2020-01-01 16:00:00+00:00,-0.00016125
2020-01-02 00:00:00+00:00,5.047e-05
2020-01-02 08:00:00+00:00,0.0001
2020-01-02 16:00:00+00:00,0.0001
2020-01-03 00:00:00+00:00,0.0001
2020-01-03 08:00:00+00:00,0.0001
2020-01-03 16:00:00+00:00,0.0001
2020-01-04 00:00:00+00:00,0.0001
2020-01-04 08:00:00+00:00,0.0001
2020-01-04 16:00:00+00:00,0.0001
2020-01-05 00:00:00+00:00,0.0001
2020-01-05 08:00:00+00:00,0.0001
2020-01-05 16:00:00+00:00,0.0001
2020-01-06 00:00:00+00:00,0.0001
2020-01-06 08:00:00+00:00,0.0001
2020-01-06 16:00:00+00:00,0.0001
2020-01-07 00:00:00+00:00,0.0001
2020-01-07 08:00:00+00:00,0.0001
2020-01-07 16:00:00+00:00,0.0001
2020-01-08 00:00:00+00:00,0.0001
2020-01-08 08:00:00+00:00,0.0001
2020-01-08 16:00:00+00:00,0.0001
2020-01-09 00:00:00+00:00,0.0001
2020-01-09 08:00:00+00:00,0.0001
2020-01-09 16:00:00+00:00,0.0001
2020-01-10 00:00:00+00:00,0.0001
2020-01-10 08:00:00+00:00,0.0001
2020-01-10 16:00:00+00:00,0.0001
2020-01-11 00:00:00+00:00,0.0001
2020-01-11 08:00:00+00:00,0.0001
2020-01-11 16:00:00+00:00,0.0001
2020-01-12 00:00:00+00:00,0.0001
2020-01-12 08:00:00+00:00,0.0001
2020-01-12 16:00:00+00:00,0.0001
2020-01-13 00:00:00+00:00,0.0001
2020-01-13 08:00:00+00:00,0.0001
2020-01-13 16:00:00+00:00,0.0001
2020-01-14 00:00:00+00:00,0.0001
2020-01-14 08:00:00+00:00,0.0001
2020-01-14 16:00:00+00:00,0.0001
2020-01-15 00:00:00+00:00,0.00011544
2020-01-15 08:00:00+00:00,0.00020223
2020-01-15 16:00:00+00:00,0.00031864
2020-01-16 00:00:00+00:00,0.00017165
2020-01-16 08:00:00+00:00,0.00038406
2020-01-16 16:00:00+00:00,0.0004224
2020-01-17 00:00:00+00:00,0.00018772
2020-01-17 08:00:00+00:00,0.0001
2020-01-17 16:00:00+00:00,0.00020327
2020-01-18 00:00:00+00:00,0.0001
2020-01-18 08:00:00+00:00,0.0001
2020-01-18 16:00:00+00:00,0.00011014
2020-01-19 00:00:00+00:00,0.00044662
2020-01-19 08:00:00+00:00,0.00019851
2020-01-19 16:00:00+00:00,0.00023852
2020-01-20 00:00:00+00:00,0.00047503
2020-01-20 08:00:00+00:00,0.00054081
2020-01-20 16:00:00+00:00,0.00038562
2020-01-21 00:00:00+00:00,0.00021637
2020-01-21 08:00:00+00:00,0.00016823
2020-01-21 16:00:00+00:00,0.00018627
2020-01-22 00:00:00+00:00,0.0001535
2020-01-22 08:00:00+00:00,0.0001
2020-01-22 16:00:00+00:00,0.0001
2020-01-23 00:00:00+00:00,0.0001
2020-01-23 08:00:00+00:00,0.0001
2020-01-23 16:00:00+00:00,0.00021994
2020-01-24 00:00:00+00:00,0.00017114
2020-01-24 08:00:00+00:00,0.00017748
2020-01-24 16:00:00+00:00,0.00025923
2020-01-25 00:00:00+00:00,0.0001
2020-01-25 08:00:00+00:00,0.0001
2020-01-25 16:00:00+00:00,0.00027793
2020-01-26 00:00:00+00:00,0.00031959
2020-01-26 08:00:00+00:00,0.00026387
2020-01-26 16:00:00+00:00,0.0001
2020-01-27 00:00:00+00:00,0.0001
2020-01-27 08:00:00+00:00,0.0001
2020-01-27 16:00:00+00:00,0.0001
2020-01-28 00:00:00+00:00,0.00010167
2020-01-28 08:00:00+00:00,0.00049212
2020-01-28 16:00:00+00:00,0.00091788
2020-01-29 00:00:00+00:00,0.00122251
2020-01-29 08:00:00+00:00,0.0010613
2020-01-29 16:00:00+00:00,0.00055576
2020-01-30 00:00:00+00:00,0.00054882
2020-01-30 08:00:00+00:00,0.00049058
2020-01-30 16:00:00+00:00,0.00054951
2020-01-31 00:00:00+00:00,0.00082589
2020-01-31 08:00:00+00:00,0.00132017
2020-01-31 16:00:00+00:00,0.00093741
2020-02-01 00:00:00+00:00,0.0007201
2020-02-01 08:00:00+00:00,0.00070775
