timestamp,open,high,low,close,volume
2020-01-01 00:00:00+00:00,129.12,130.97,128.62,130.09,88391.064
2020-01-01 04:00:00+00:00,130.1,130.67,130.0,130.17,46813.723
2020-01-01 08:00:00+00:00,130.15,131.88,129.75,130.64,70366.957
2020-01-01 12:00:00+00:00,130.63,132.49,130.63,131.97,75684.307
2020-01-01 16:00:00+00:00,132.0,132.96,131.45,131.79,78724.484
2020-01-01 20:00:00+00:00,131.79,132.25,129.54,130.62,106083.394
2020-01-02 00:00:00+00:00,130.63,130.75,128.75,129.09,91353.234
2020-01-02 04:00:00+00:00,129.07,129.96,128.67,129.28,75147.123
2020-01-02 08:00:00+00:00,129.2,130.24,129.17,129.48,69341.088
2020-01-02 12:00:00+00:00,129.47,129.95,128.79,129.48,75089.943
2020-01-02 16:00:00+00:00,129.5,129.65,126.25,127.53,170821.938
2020-01-02 20:00:00+00:00,127.53,127.79,126.7,127.11,41829.598
2020-01-03 00:00:00+00:00,127.11,127.51,125.78,126.76,68580.448
2020-01-03 04:00:00+00:00,126.81,130.18,126.81,128.82,180191.041
2020-01-03 08:00:00+00:00,128.84,132.97,128.66,132.42,220352.622
2020-01-03 12:00:00+00:00,132.4,133.95,130.94,132.45,149860.555
2020-01-03 16:00:00+00:00,132.48,134.94,131.92,133.41,213592.233
2020-01-03 20:00:00+00:00,133.42,135.07,132.15,134.29,118546.698
2020-01-04 00:00:00+00:00,134.31,134.73,132.74,133.25,77694.772
2020-01-04 04:00:00+00:00,133.25,134.21,132.88,133.84,77373.028
2020-01-04 08:00:00+00:00,133.84,134.1,132.95,133.71,78041.639
2020-01-04 12:00:00+00:00,133.71,133.71,132.41,133.21,61223.281
2020-01-04 16:00:00+00:00,133.19,135.8,132.7,133.65,162898.441
2020-01-04 20:00:00+00:00,133.66,134.51,133.38,134.14,52546.947
2020-01-05 00:00:00+00:00,134.14,136.17,134.12,136.1,115409.638
2020-01-05 04:00:00+00:00,136.1,137.25,135.56,135.98,89876.79
2020-01-05 08:00:00+00:00,135.99,136.18,134.63,135.03,73393.472
2020-01-05 12:00:00+00:00,135.03,137.86,135.02,137.14,100891.709
